instruction,input,output
Berapa poin yang didapatkan ketua tim yang jurnal nasional Sinta 4 di PUBLIKASI JURNAL?,,Ketua tim yang juara I di LKTI mendapatkan 50 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal nasional Sinta 5 di PUBLIKASI JURNAL?,,Anggota tim yang juara I di LKTI mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal nasional Sinta 6 di PUBLIKASI JURNAL?,,Ketua tim yang juara II di LKTI mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal nasional biasa di PUBLIKASI JURNAL?,,Mahasiswa yang jurnal nasional biasa di PUBLIKASI JURNAL mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang berhasil lolos di tingkat kabupaten di LOMBA/PRESTASI?,,Mahasiswa yang berhasil lolos di tingkat kabupaten di LOMBA/PRESTASI mendapatkan 10 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan mahasiswa yang berhasil lolos di tingkat provinsi di LOMBA/PRESTASI?,,Mahasiswa yang berhasil lolos di tingkat provinsi di LOMBA/PRESTASI mendapatkan 15 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang berhasil lolos di tingkat nasional di LOMBA/PRESTASI?,,Mahasiswa yang berhasil lolos di tingkat nasional di LOMBA/PRESTASI mendapatkan 30 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara I di tingkat kabupaten di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara I di tingkat kabupaten di LOMBA/PRESTASI mendapatkan 20 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara II di tingkat kabupaten di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara II di tingkat kabupaten di LOMBA/PRESTASI mendapatkan 15 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara III di tingkat kabupaten di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara III di tingkat kabupaten di LOMBA/PRESTASI mendapatkan 10 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara I di tingkat provinsi di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara I di tingkat provinsi di LOMBA/PRESTASI mendapatkan 30 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara II di tingkat provinsi di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara II di tingkat provinsi di LOMBA/PRESTASI mendapatkan 25 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara III di tingkat provinsi di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara III di tingkat provinsi di LOMBA/PRESTASI mendapatkan 20 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara I di tingkat nasional di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara I di tingkat nasional di LOMBA/PRESTASI mendapatkan 40 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara II di tingkat nasional di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara II di tingkat nasional di LOMBA/PRESTASI mendapatkan 35 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan mahasiswa yang mendapatkan juara III di tingkat nasional di LOMBA/PRESTASI?,,Mahasiswa yang mendapatkan juara III di tingkat nasional di LOMBA/PRESTASI mendapatkan 30 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama (seleksi universitas) di PPK ORMAWA?,,Ketua tim yang lolos tahap pertama (seleksi universitas) di PPK ORMAWA mendapatkan 10 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama (seleksi universitas) di PPK ORMAWA?,,Anggota tim yang lolos tahap pertama (seleksi universitas) di PPK ORMAWA mendapatkan 7 poin sebagai bentuk penghargaan atas kontribusinya dalam tim.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (pendanaan DIKTI) di PPK ORMAWA?,,Ketua tim yang lolos tahap kedua (pendanaan DIKTI) di PPK ORMAWA mendapatkan 35 poin sebagai bentuk penghargaan atas keberhasilannya memperoleh pendanaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua (pendanaan DIKTI) di PPK ORMAWA?,,Anggota tim yang lolos tahap kedua (pendanaan DIKTI) di PPK ORMAWA mendapatkan 32 poin sebagai bentuk penghargaan atas kontribusinya dalam tim.
Berapa poin yang didapatkan anggota pengganti tim yang lolos tahap kedua (pendanaan DIKTI) di PPK ORMAWA?,,Anggota pengganti tim yang lolos tahap kedua (pendanaan DIKTI) di PPK ORMAWA mendapatkan 29 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan ketua tim yang lolos ke ajang ABDIDAYA di PPK ORMAWA?,,Ketua tim yang lolos ke ajang ABDIDAYA di PPK ORMAWA mendapatkan 90 poin sebagai bentuk penghargaan atas prestasi tingkat nasional.
Berapa poin yang didapatkan anggota tim yang lolos ke ajang ABDIDAYA di PPK ORMAWA?,,Anggota tim yang lolos ke ajang ABDIDAYA di PPK ORMAWA mendapatkan 75 poin sebagai bentuk penghargaan atas kontribusinya dalam tim.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara I di ajang ABDIDAYA di PPK ORMAWA?,,Ketua tim yang mendapatkan juara I di ajang ABDIDAYA di PPK ORMAWA mendapatkan 170 poin sebagai bentuk penghargaan atas prestasi internasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang ABDIDAYA di PPK ORMAWA?,,Anggota tim yang mendapatkan juara I di ajang ABDIDAYA di PPK ORMAWA mendapatkan 150 poin sebagai bentuk penghargaan atas kontribusinya dalam tim.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara II di ajang ABDIDAYA di PPK ORMAWA?,,Ketua tim yang mendapatkan juara II di ajang ABDIDAYA di PPK ORMAWA mendapatkan 150 poin sebagai bentuk penghargaan atas prestasi internasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang ABDIDAYA di PPK ORMAWA?,,Anggota tim yang mendapatkan juara II di ajang ABDIDAYA di PPK ORMAWA mendapatkan 130 poin sebagai bentuk penghargaan atas kontribusinya dalam tim.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara III di ajang ABDIDAYA di PPK ORMAWA?,,Ketua tim yang mendapatkan juara III di ajang ABDIDAYA di PPK ORMAWA mendapatkan 130 poin sebagai bentuk penghargaan atas prestasi internasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang ABDIDAYA di PPK ORMAWA?,,Anggota tim yang mendapatkan juara III di ajang ABDIDAYA di PPK ORMAWA mendapatkan 110 poin sebagai bentuk penghargaan atas kontribusinya dalam tim.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama (tingkat regional) di KOMURINDO KOMBAT?,,Ketua tim yang lolos tahap pertama (tingkat regional) di KOMURINDO KOMBAT mendapatkan 15 poin sebagai bentuk penghargaan atas keberhasilannya.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama (tingkat regional) di KOMURINDO KOMBAT?,,Anggota tim yang lolos tahap pertama (tingkat regional) di KOMURINDO KOMBAT mendapatkan 12 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (tingkat nasional) di KOMURINDO KOMBAT?,,Ketua tim yang lolos tahap kedua (tingkat nasional) di KOMURINDO KOMBAT mendapatkan 40 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua (tingkat nasional) di KOMURINDO KOMBAT?,,Anggota tim yang lolos tahap kedua (tingkat nasional) di KOMURINDO KOMBAT mendapatkan 37 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara I di tingkat regional di KOMURINDO KOMBAT?,,Ketua tim yang mendapatkan juara I di tingkat regional di KOMURINDO KOMBAT mendapatkan 70 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di tingkat regional di KOMURINDO KOMBAT?,,Anggota tim yang mendapatkan juara I di tingkat regional di KOMURINDO KOMBAT mendapatkan 60 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara II di tingkat regional di KOMURINDO KOMBAT?,,Ketua tim yang mendapatkan juara II di tingkat regional di KOMURINDO KOMBAT mendapatkan 60 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di tingkat regional di KOMURINDO KOMBAT?,,Anggota tim yang mendapatkan juara II di tingkat regional di KOMURINDO KOMBAT mendapatkan 50 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara III di tingkat regional di KOMURINDO KOMBAT?,,Ketua tim yang mendapatkan juara III di tingkat regional di KOMURINDO KOMBAT mendapatkan 50 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di tingkat regional di KOMURINDO KOMBAT?,,Anggota tim yang mendapatkan juara III di tingkat regional di KOMURINDO KOMBAT mendapatkan 40 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara I di tingkat nasional di KOMURINDO KOMBAT?,,Ketua tim yang mendapatkan juara I di tingkat nasional di KOMURINDO KOMBAT mendapatkan 120 poin sebagai bentuk penghargaan atas prestasi nasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di tingkat nasional di KOMURINDO KOMBAT?,,Anggota tim yang mendapatkan juara I di tingkat nasional di KOMURINDO KOMBAT mendapatkan 100 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara II di tingkat nasional di KOMURINDO KOMBAT?,,Ketua tim yang mendapatkan juara II di tingkat nasional di KOMURINDO KOMBAT mendapatkan 100 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di tingkat nasional di KOMURINDO KOMBAT?,,Anggota tim yang mendapatkan juara II di tingkat nasional di KOMURINDO KOMBAT mendapatkan 85 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara III di tingkat nasional di KOMURINDO KOMBAT?,,Ketua tim yang mendapatkan juara III di tingkat nasional di KOMURINDO KOMBAT mendapatkan 85 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di tingkat nasional di KOMURINDO KOMBAT?,,Anggota tim yang mendapatkan juara III di tingkat nasional di KOMURINDO KOMBAT mendapatkan 70 poin sebagai bentuk penghargaan atas kontribusinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di PORDA?,,Anggota tim yang mendapatkan juara I di PORDA mendapatkan 35 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di PORDA?,,Anggota tim yang mendapatkan juara II di PORDA mendapatkan 30 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di PORDA?,,Anggota tim yang mendapatkan juara III di PORDA mendapatkan 25 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara harapan di PORDA?,,Anggota tim yang mendapatkan juara harapan di PORDA mendapatkan 10 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di PON/POMNAS?,,Anggota tim yang mendapatkan juara I di PON/POMNAS mendapatkan 75 poin sebagai bentuk penghargaan atas prestasi nasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di PON/POMNAS?,,Anggota tim yang mendapatkan juara II di PON/POMNAS mendapatkan 65 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di PON/POMNAS?,,Anggota tim yang mendapatkan juara III di PON/POMNAS mendapatkan 55 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara harapan di PON/POMNAS?,,Anggota tim yang mendapatkan juara harapan di PON/POMNAS mendapatkan 45 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang sebagai peserta di PON/POMNAS?,,Anggota tim yang sebagai peserta di PON/POMNAS mendapatkan 40 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang olahraga tingkat internasional?,,Mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di NUDC mendapatkan 20 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang olahraga tingkat internasional?,,Anggota tim yang mendapatkan juara I di ajang olahraga tingkat internasional mendapatkan 120 poin sebagai bentuk penghargaan atas prestasi internasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang olahraga tingkat internasional?,,Anggota tim yang mendapatkan juara II di ajang olahraga tingkat internasional mendapatkan 110 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara harapan di ajang olahraga tingkat internasional?,,Anggota tim yang mendapatkan juara III di ajang olahraga tingkat internasional mendapatkan 100 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang sebagai peserta di ajang olahraga tingkat internasional?,,Anggota tim yang mendapatkan juara harapan di ajang olahraga tingkat internasional mendapatkan 90 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang seni tingkat provinsi?,,Anggota tim yang sebagai peserta di ajang olahraga tingkat internasional mendapatkan 80 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang seni tingkat provinsi?,,Anggota tim yang mendapatkan juara I di ajang seni tingkat provinsi mendapatkan 25 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang seni tingkat provinsi?,,Anggota tim yang mendapatkan juara II di ajang seni tingkat provinsi mendapatkan 20 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara harapan di ajang seni tingkat provinsi?,,Anggota tim yang mendapatkan juara III di ajang seni tingkat provinsi mendapatkan 15 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang sebagai peserta di ajang seni tingkat provinsi?,,Anggota tim yang mendapatkan juara harapan di ajang seni tingkat provinsi mendapatkan 10 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang seni tingkat nasional?,,Anggota tim yang sebagai peserta di ajang seni tingkat provinsi mendapatkan 5 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang seni tingkat nasional?,,Anggota tim yang mendapatkan juara I di ajang seni tingkat nasional mendapatkan 50 poin sebagai bentuk penghargaan atas prestasi nasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang seni tingkat nasional?,,Anggota tim yang mendapatkan juara II di ajang seni tingkat nasional mendapatkan 45 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara harapan di ajang seni tingkat nasional?,,Anggota tim yang mendapatkan juara III di ajang seni tingkat nasional mendapatkan 40 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang sebagai peserta di ajang seni tingkat nasional?,,Anggota tim yang mendapatkan juara harapan di ajang seni tingkat nasional mendapatkan 35 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang seni tingkat internasional?,,Anggota tim yang sebagai peserta di ajang seni tingkat nasional mendapatkan 20 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang seni tingkat internasional?,,Anggota tim yang mendapatkan juara I di ajang seni tingkat internasional mendapatkan 120 poin sebagai bentuk penghargaan atas prestasi internasional.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang seni tingkat internasional?,,Anggota tim yang mendapatkan juara II di ajang seni tingkat internasional mendapatkan 110 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara harapan di ajang seni tingkat internasional?,,Anggota tim yang mendapatkan juara III di ajang seni tingkat internasional mendapatkan 100 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang sebagai peserta di ajang seni tingkat internasional?,,Anggota tim yang mendapatkan juara harapan di ajang seni tingkat internasional mendapatkan 90 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang MTQMN tingkat provinsi?,,Anggota tim yang sebagai peserta di ajang seni tingkat internasional mendapatkan 80 poin sebagai bentuk penghargaan atas partisipasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang MTQMN tingkat provinsi?,,Anggota tim yang mendapatkan juara I di ajang MTQMN tingkat provinsi mendapatkan 25 poin sebagai bentuk penghargaan atas prestasinya (bagian MTQMN poin 1a).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang MTQMN tingkat provinsi?,,Anggota tim yang mendapatkan juara II di ajang MTQMN tingkat provinsi mendapatkan 20 poin sebagai bentuk penghargaan atas prestasinya (bagian MTQMN poin 1b).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang MTQMN tingkat nasional?,,Anggota tim yang mendapatkan juara III di ajang MTQMN tingkat provinsi mendapatkan 15 poin sebagai bentuk penghargaan atas prestasinya (bagian MTQMN poin 1c).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang MTQMN tingkat nasional?,,Anggota tim yang mendapatkan juara I di ajang MTQMN tingkat nasional mendapatkan 50 poin sebagai bentuk penghargaan atas prestasi nasional (bagian MTQMN poin 2a).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang MTQMN tingkat nasional?,,Anggota tim yang mendapatkan juara II di ajang MTQMN tingkat nasional mendapatkan 45 poin sebagai bentuk penghargaan atas prestasinya (bagian MTQMN poin 2b).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang PESPARAWI tingkat provinsi?,,Anggota tim yang mendapatkan juara III di ajang MTQMN tingkat nasional mendapatkan 40 poin sebagai bentuk penghargaan atas prestasinya (bagian MTQMN poin 2c).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang PESPARAWI tingkat provinsi?,,Anggota tim yang mendapatkan juara I di ajang PESPARAWI tingkat provinsi mendapatkan 25 poin sebagai bentuk penghargaan atas prestasinya (bagian PESPARAWI poin 1a).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang PESPARAWI tingkat provinsi?,,Anggota tim yang mendapatkan juara III di ajang PESPARAWI tingkat provinsi mendapatkan 15 poin sebagai bentuk penghargaan atas prestasinya (bagian PESPARAWI poin 1c).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di ajang PESPARAWI tingkat nasional?,,Anggota tim yang mendapatkan juara I di ajang PESPARAWI tingkat nasional mendapatkan 50 poin sebagai bentuk penghargaan atas prestasi nasional (bagian PESPARAWI poin 2a).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di ajang PESPARAWI tingkat nasional?,,Anggota tim yang mendapatkan juara II di ajang PESPARAWI tingkat nasional mendapatkan 45 poin sebagai bentuk penghargaan atas prestasinya (bagian PESPARAWI poin 2b).
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di ajang PESPARAWI tingkat nasional?,,Anggota tim yang mendapatkan juara III di ajang PESPARAWI tingkat nasional mendapatkan 40 poin sebagai bentuk penghargaan atas prestasinya (bagian PESPARAWI poin 2c).
Apa itu GEMASTIK dan siapa penyelenggaranya?,,"GEMASTIK (Pagelaran Mahasiswa Nasional Bidang Teknologi Informasi dan Komunikasi) adalah kompetisi tahunan yang diselenggarakan oleh Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia."
Apa tujuan utama diselenggarakannya GEMASTIK?,,Tujuan utama GEMASTIK adalah meningkatkan kualitas mahasiswa Indonesia di bidang TIK agar mampu menjadi agen perubahan dalam memajukan teknologi dan pemanfaatannya di Indonesia.
Apa tema GEMASTIK XIV tahun ini?,,"Tema GEMASTIK XIV adalah ""TIK untuk Indonesia Bangkit Menuju Kehidupan Bangsa yang Lebih Baik""."
Berapa kali GEMASTIK telah dilaksanakan hingga tahun ini?,,"Hingga tahun ini, GEMASTIK telah dilaksanakan sebanyak 14 kali."
Bagaimana metode pelaksanaan GEMASTIK XIV?,,GEMASTIK XIV dilaksanakan secara daring (online) dari babak pendaftaran hingga babak final.
Mengapa GEMASTIK XIV dilaksanakan secara daring?,,Pelaksanaan daring disebabkan oleh pandemi COVID-19 yang masih melanda Indonesia dan dunia.
Apa saja tahapan kompetisi GEMASTIK?,,"Tahapan GEMASTIK meliputi: (1) Pendaftaran Perguruan Tinggi dan Tim Peserta, (2) Babak Penyisihan, (3) Babak Final."
Bagaimana tahapan pendaftaran GEMASTIK dilakukan?,,"Pendaftaran dilakukan oleh dosen perwakilan perguruan tinggi atau pembina unit kemahasiswaan, lalu oleh ketua tim mahasiswa. Perguruan tinggi yang terdaftar akan muncul di pilihan pendaftaran tim."
Apa yang dinilai pada babak penyisihan GEMASTIK?,,"Pada babak penyisihan, tim mengunggah proposal dan dokumen teknis yang dinilai berdasarkan inovasi, dampak sosial, desain antarmuka, usability, user experience, metodologi pengembangan, dan kesesuaian ide dengan produk."
Apa saja kegiatan dalam babak final GEMASTIK?,,"Babak final meliputi presentasi karya, demonstrasi perangkat lunak, dan sesi tanya jawab dengan dewan juri. Presentasi mungkin terbuka untuk peserta lain."
Apa saja kategori lomba dalam GEMASTIK?,,"Kategori lomba GEMASTIK meliputi: Pemrograman, Keamanan Siber, Penambangan Data, Desain UX, Animasi, Kota Cerdas, Karya Tulis Ilmiah TIK, Pengembangan Perangkat Lunak, Piranti Cerdas & IoT, Pengembangan Game, dan Pengembangan Bisnis TIK."
Apa yang dinilai dalam kategori Pemrograman (Programming) pada GEMASTIK?,,Kategori Pemrograman menilai kemampuan peserta dalam menyelesaikan masalah pemrograman secara efisien dan efektif.
Apa fokus kategori Keamanan Siber (Cyber Security) di GEMASTIK?,,"Kategori Keamanan Siber menguji kemampuan peserta menghadapi kasus keamanan sistem komputer, jaringan, dan data."
Apa yang dinilai dalam kategori Penambangan Data (Data Mining) di GEMASTIK?,,Kategori Penambangan Data menilai kemampuan analisis dan ekstraksi informasi dari kumpulan data besar.
Apa kriteria penilaian kategori Desain Pengalaman Pengguna (UX Design) di GEMASTIK?,,Kategori Desain UX menilai kemampuan merancang antarmuka pengguna yang intuitif dan memberikan pengalaman pengguna yang baik.
Apa yang dinilai dalam kategori Animasi (Animation) di GEMASTIK?,,Kategori Animasi menilai kreativitas dan keterampilan peserta dalam membuat animasi yang menarik dan informatif.
Apa fokus kategori Kota Cerdas (Smart City) di GEMASTIK?,,Kategori Kota Cerdas fokus pada inovasi solusi TIK untuk meningkatkan kualitas hidup di perkotaan.
Apa tujuan kategori Karya Tulis Ilmiah TIK (ICT Scientific Paper) di GEMASTIK?,,Kategori Karya Tulis Ilmiah TIK bertujuan menilai kemampuan peserta dalam menulis karya ilmiah berkualitas di bidang TIK.
Apa yang dinilai dalam kategori Pengembangan Perangkat Lunak (Software Development) di GEMASTIK?,,Kategori Pengembangan Perangkat Lunak menilai inovasi dan manfaat perangkat lunak yang dibuat.
"Apa fokus kategori Piranti Cerdas, Sistem Benam, IoT di GEMASTIK?",,Kategori Piranti Cerdas & IoT menilai kemampuan pengembangan perangkat berbasis sistem benam dan Internet of Things.
Apa yang dinilai dalam kategori Pengembangan Aplikasi Permainan (Game Development) di GEMASTIK?,,Kategori Game Development menilai kreativitas dan keterampilan dalam membuat permainan yang menarik dan edukatif.
Apa kriteria kategori Pengembangan Bisnis TIK (ICT Business Development) di GEMASTIK?,,Kategori Bisnis TIK menilai inovasi model bisnis berbasis TIK yang berkelanjutan.
Berdasarkan kriteria apa saja penilaian dalam lomba GEMASTIK dilakukan?,,"Penilaian GEMASTIK didasarkan pada kriteria: inovasi, dampak, desain, implementasi, dan presentasi."
Di mana peserta dapat menemukan informasi resmi tentang GEMASTIK?,,Informasi resmi GEMASTIK dapat diakses di: https://gemastik.kemdikbud.go.id
Apa saja syarat dan ketentuan untuk mengikuti lomba GEMASTIK?,,"Syarat dan ketentuan GEMASTIK:Peserta adalah mahasiswa aktif diploma/sarjana dari perguruan tinggi Indonesia. Setiap tim terdiri dari 3-4 mahasiswa dari perguruan tinggi yang sama. Karya harus orisinal, belum pernah dipublikasikan/kompetisi lain, dan bebas unsur SARA."
Apa itu PIMNAS dan siapa penyelenggaranya?,,"PIMNAS (Pekan Ilmiah Mahasiswa Nasional) adalah ajang kompetisi ilmiah tahunan bagi mahasiswa Indonesia yang diselenggarakan oleh Direktorat Jenderal Pendidikan Tinggi, Kementerian Pendidikan dan Kebudayaan."
Apa tujuan utama diselenggarakannya PIMNAS?,,"Tujuan PIMNAS adalah mendorong mahasiswa mengembangkan kreativitas, inovasi, dan kemampuan ilmiah melalui Program Kreativitas Mahasiswa (PKM), serta mempersiapkan mereka menjadi pemimpin yang cendekiawan dan wirausahawan mandiri."
Sejak kapan PIMNAS pertama kali dilaksanakan?,,PIMNAS pertama kali digelar pada tahun 1988 di Universitas Indonesia.
Apa perbedaan nama awal PIMNAS sebelum tahun 1990?,,"Sebelum tahun 1990, PIMNAS dikenal sebagai Lomba Karya Ilmiah Mahasiswa (LKIM)."
Apa saja kategori PKM yang dilombakan dalam PIMNAS?,,"Kategori PKM dalam PIMNAS meliputi PKM Penelitian Eksakta (PKM-RE), PKM Penelitian Sosial Humaniora (PKM-RSH), PKM Kewirausahaan (PKM-K), PKM Pengabdian Masyarakat (PKM-PM), PKM Penerapan Iptek (PKM-PI), PKM Karsa Cipta (PKM-KC), PKM Gagasan Futuristik Tertulis (PKM-GFT), dan PKM Video Gagasan Konstruktif (PKM-VGK)."
Apa dua jenis kompetisi yang diikuti peserta PIMNAS?,,Peserta PIMNAS mengikuti dua jenis kompetisi yaitu presentasi hasil PKM dan presentasi poster.
Dokumen apa saja yang wajib disiapkan peserta PIMNAS?,,"Dokumen wajib peserta meliputi laporan akhir PKM, artikel ilmiah, produk PKM sesuai bidang, bahan presentasi, dan poster."
Bagaimana tahapan seleksi peserta PIMNAS?,,"Tahapan seleksi peserta PIMNAS terdiri dari pengajuan proposal PKM melalui perguruan tinggi, seleksi internal di tingkat kampus, seleksi nasional untuk pendanaan, monitoring dan evaluasi (MONEV), serta pengumuman finalis yang berhak kompetisi di acara final."
Apa kriteria penilaian utama dalam PIMNAS?,,"Kriteria penilaian utama dalam PIMNAS mencakup inovasi dan kebaruan, manfaat dan dampak, metodologi penelitian atau penerapan teknologi, keterlibatan dan kerjasama tim, serta kualitas presentasi dan komunikasi."
